"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.sunrisehouse.com/addiction-treatment-new-jersey/levels-of-care","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","0","","1","1","0","1.200","0","0","0","0","0","0","","","","","","0.265","","https://sunrisehouse.com/addiction-treatment-new-jersey/levels-of-care","HTTP Redirect","","1.1","https://www.sunrisehouse.com/addiction-treatment-new-jersey/levels-of-care","2022-09-04 07:21:15"
"https://sunrisehouse.com/xanax/withdrawal/","text/html; charset=utf-8","200","OK","Indexable","","How Long Does Xanax Withdrawal Last? | Sunrise House","52","503","Xanax withdrawal can be uncomfortable & even lead life-threatening symptoms. Learn more about how long withdrawals lasts, physical dependence","141","917","","0","How Long Does Xanax Withdrawal Last?","36","What is Xanax?","14","Xanax Withdrawal Occurs After Physical Dependence","49","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/xanax/withdrawal/","","","","","","370223","1779","4.682","0","","9","6","0","7.230","224","76","0","24","17","0","","","","","a6405280070f6668be4c97f68e0fcdf6","0.376","","","","","1.1","https://sunrisehouse.com/xanax/withdrawal/","2022-09-04 07:21:15"
"https://sunrisehouse.com/xanax/signs-of-abuse/","text/html; charset=utf-8","200","OK","Indexable","","What are the Signs of Xanax Abuse? | Sunrise House","50","467","No formal diagnostic signs of a substance use disorder as a result of Xanax abuse that can differentiate abuse of Xanax from other benzodiazepines.","147","921","","0","What are the Signs of Xanax Abuse?","34","Abuse of Xanax","14","Signs of Xanax Abuse","20","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/xanax/signs-of-abuse/","","","","","","371591","2076","5.153","0","","8","6","0","7.230","231","78","0","22","15","0","","","","","6e75a5de6c7856690297d2138db561f1","0.744","","","","","1.1","https://sunrisehouse.com/xanax/signs-of-abuse/","2022-09-04 07:21:15"
"https://sunrisehouse.com/xanax/dangers-of-snorting/","text/html; charset=utf-8","200","OK","Indexable","","Dangers of Snorting Xanax | Sunrise House","41","382","Snorting Xanax is extremely dangerous & can cause some deadly complications. It is also a positive sign of addiction.","117","721","","0","Dangers of Snorting Xanax","25","What is Xanax (Alprazolam)?","27","Xanax Abuse Signs and Symptoms","30","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/xanax/dangers-of-snorting/","","","","","","362540","1227","3.788","0","","7","6","0","7.230","225","76","0","22","15","0","","","","","1c4658e474cf56a961e6f648e8b3ea1c","0.741","","","","","1.1","https://sunrisehouse.com/xanax/dangers-of-snorting/","2022-09-04 07:21:15"
"https://sunrisehouse.com/xanax/","text/html; charset=utf-8","200","OK","Indexable","","Xanax Drug Guide | Sunrise House","32","304","Xanax is a potent benzodiazepine with an intermediate onset of action & a relatively brief half-life.","101","599","","0","Xanax Drug Guide","16","What Is Xanax","13","Xanax Abuse","11","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/xanax/","","","","","","361583","2479","6.157","0","","257","83","0","100.000","228","76","0","26","19","0","","","","","79c7ca99d7f4705c7b5a3c923b005fa1","0.604","","","","","1.1","https://sunrisehouse.com/xanax/","2022-09-04 07:21:16"
"https://sunrisehouse.com/xanax/overdose/","text/html; charset=utf-8","200","OK","Indexable","","Can You Overdose on Xanax? | Sunrise House","42","405","If you are asking yourself if you can overdose on Xanax, you can. Learn more about why Xanax leads to overdose, effects, methods of abuse","137","864","","0","Can You Overdose on Xanax?","26","What is Xanax?","14","Xanax Misuse and Abuse","22","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/xanax/overdose/","","","","","","385041","2599","5.908","0","","8","6","0","7.230","228","77","0","39","32","0","","","","","72c89aa518349190219a6e2a5c94c48f","0.937","","","","","1.1","https://sunrisehouse.com/xanax/overdose/","2022-09-04 07:21:15"
"https://sunrisehouse.com/veterans-mission-act/","text/html; charset=utf-8","200","OK","Indexable","","VA Benefits & Addiction Treatment for Veterans | Sunrise House","62","571","Learn how you can use VA insurance coverage for dur or alcohol addiction treatment at Sunrise House Treatment Center.","117","747","","0","VA Insurance & The Mission Act for Substance Abuse Treatment","60","What is the MISSION Act?","24","Do VA Benefits Cover Addiction Treatment and Rehab?","51","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/veterans-mission-act/","","","","","","271164","1248","5.068","0","","251","83","0","100.000","194","62","0","16","11","0","","","","","cc7be45c045ce366f310dec1cf605c45","0.574","","","","","1.1","https://sunrisehouse.com/veterans-mission-act/","2022-09-04 07:21:16"
"https://sunrisehouse.com/treat-co-occurring-disorders/","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","0","","3","3","0","3.610","0","0","0","0","0","0","","","","","","0.143","","https://sunrisehouse.com/co-occurring-disorders/","HTTP Redirect","","1.1","https://sunrisehouse.com/treat-co-occurring-disorders/","2022-09-04 07:21:17"
"https://sunrisehouse.com/terms-of-use/","text/html; charset=utf-8","200","OK","Indexable","","Terms of Use | Sunrise House","28","264","The terms of use for Sunrise House: a treatment facility ran by American Addiction Center. Click for information on the terms of use at the Sunrise House.","154","939","","0","Terms of Use","12","","0","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/terms-of-use/","","","","","","309607","5490","12.861","0","","250","83","0","100.000","196","66","0","15","10","0","","","","","3b22d74c244b87dac6f3b3f254ad972","0.296","","","","","1.1","https://sunrisehouse.com/terms-of-use/","2022-09-04 07:21:17"
"https://sunrisehouse.com/quit-abusing-marijuana/","text/html; charset=utf-8","200","OK","Indexable","","How to Quit Abusing Marijuana | Sunrise House","45","420","Click to learn about how to quit abusing marijuana. Use these 4 simple steps if you or a loved one is struggling with marijuana abuse and want to stop.","151","924","","0","How to Quit Abusing Marijuana","29","Step 1: Understand the objective.","33","Step 2: Recognize when help is needed.","38","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://sunrisehouse.com/quit-abusing-marijuana/","","","","","","346281","1703","4.699","0","","253","83","0","100.000","230","78","0","24","17","0","","","","","7f012fce8e58727751570cc025abe0f","0.297","","","","","1.1","https://sunrisehouse.com/quit-abusing-marijuana/","2022-09-04 07:21:17"
